tiraz,1-number,2-number,3-number,4-number,5-number,6-number,datetime,jackpot
5393,3,22,8,45,36,12,2020-09-27 11:00:00,42064850
5392,16,5,9,43,13,12,2020-09-26 23:00:00,41608700
5391,41,22,20,5,32,11,2020-09-26 11:00:00,41330600
5390,32,22,38,3,2,37,2020-09-25 23:00:00,40834450
5389,14,41,22,8,29,25,2020-09-25 11:00:00,40725700
5388,22,39,27,6,29,28,2020-09-24 23:00:00,40381600
5387,37,7,9,27,41,31,2020-09-24 11:00:00,40291800
5386,42,22,44,31,32,11,2020-09-23 23:00:00,39802550
5385,13,38,16,30,23,12,2020-09-23 11:00:00,39546400
5384,15,31,30,28,22,14,2020-09-22 23:00:00,39061200
5383,7,19,26,17,20,21,2020-09-22 11:00:00,38833300
5382,13,43,5,31,23,41,2020-09-21 23:00:00,38279150
5381,38,2,18,41,23,16,2020-09-21 11:00:00,38003000
5380,14,25,9,17,26,13,2020-09-20 23:00:00,37531750
5379,8,33,22,12,39,14,2020-09-20 11:00:00,37291550
5378,43,39,16,3,37,2,2020-09-19 23:00:00,36654750
5377,32,39,13,22,24,10,2020-09-19 11:00:00,36320750
5376,34,26,28,1,39,37,2020-09-18 23:00:00,35648250
5375,22,6,17,9,14,3,2020-09-18 11:00:00,35580450
5374,29,3,30,36,11,22,2020-09-17 23:00:00,35996750
5373,15,5,28,23,41,17,2020-09-17 11:00:00,35934100
5372,24,33,13,37,23,42,2020-09-16 23:00:00,35305450
5371,38,32,23,4,27,24,2020-09-16 11:00:00,34993050
5370,22,1,20,37,36,18,2020-09-15 23:00:00,34273600
5369,35,36,38,34,39,23,2020-09-15 11:00:00,33856100
5368,15,9,17,42,32,34,2020-09-14 23:00:00,33530350
5367,43,7,3,11,5,1,2020-09-14 11:00:00,33519950
5366,14,45,28,5,42,40,2020-09-13 23:00:00,33165700
5365,8,38,1,41,2,37,2020-09-13 11:00:00,32843100
5364,30,7,14,28,6,39,2020-09-12 23:00:00,32284050
5363,45,38,35,23,11,19,2020-09-12 11:00:00,32151250
5362,44,18,6,16,17,11,2020-09-11 23:00:00,31563800
5361,5,22,9,44,2,13,2020-09-11 11:00:00,31306300
5360,45,7,35,27,10,16,2020-09-10 23:00:00,30799950
5359,6,18,37,14,5,32,2020-09-10 11:00:00,30507400
5358,17,15,8,34,11,40,2020-09-09 23:00:00,30187400
5357,20,19,5,3,45,14,2020-09-09 11:00:00,30116000
5356,16,22,25,2,6,29,2020-09-08 23:00:00,29553350
5355,36,2,11,17,1,5,2020-09-08 11:00:00,29248000
5354,23,34,7,27,17,26,2020-09-07 23:00:00,29213150
5353,6,21,7,13,15,20,2020-09-07 11:00:00,28950600
5352,17,2,28,42,10,22,2020-09-06 23:00:00,28416950
5351,40,7,16,2,11,34,2020-09-06 11:00:00,28143600
5350,21,32,3,29,26,20,2020-09-05 23:00:00,27616400
5349,45,38,23,18,27,3,2020-09-05 11:00:00,27341200
5348,17,33,23,37,11,4,2020-09-04 23:00:00,27019200
5347,2,12,13,35,26,34,2020-09-04 11:00:00,27026950
5346,12,39,2,45,44,26,2020-09-03 23:00:00,26309950
5345,1,45,24,39,37,33,2020-09-03 11:00:00,25942050
5344,34,15,41,44,36,23,2020-09-02 23:00:00,25382700
5343,41,42,19,24,40,20,2020-09-02 11:00:00,25260750
5342,2,26,45,19,40,21,2020-09-01 23:00:00,24682100
5341,3,29,43,16,33,42,2020-09-01 11:00:00,24353900
5340,41,43,38,31,30,3,2020-08-31 23:00:00,23774500
5339,7,14,8,41,30,18,2020-08-31 11:00:00,23505450
5338,39,43,40,42,36,29,2020-08-30 23:00:00,22889300
5337,10,41,21,33,25,27,2020-08-30 11:00:00,22662950
5336,2,9,34,44,14,40,2020-08-29 23:00:00,22565550
5335,9,11,13,7,27,30,2020-08-29 11:00:00,22525550
5334,29,30,3,16,36,38,2020-08-28 23:00:00,22227400
5333,4,11,12,42,16,3,2020-08-28 11:00:00,21984200
5332,37,42,30,39,7,14,2020-08-27 23:00:00,21583950
5331,8,22,7,14,5,9,2020-08-27 11:00:00,21580850
5330,34,25,35,40,12,45,2020-08-26 23:00:00,21000450
5329,27,36,42,11,8,2,2020-08-26 11:00:00,20948600
5328,36,40,43,20,37,29,2020-08-25 23:00:00,20315100
5327,20,41,45,12,6,16,2020-08-25 11:00:00,20227100
5326,21,11,28,22,19,20,2020-08-24 23:00:00,19977850
5325,14,39,9,18,19,38,2020-08-24 11:00:00,19723500
5324,30,15,40,26,21,38,2020-08-23 23:00:00,19151400
5323,25,3,12,42,30,6,2020-08-23 11:00:00,19057000
5322,17,28,26,22,14,6,2020-08-22 23:00:00,18774450
5321,42,31,7,41,28,37,2020-08-22 11:00:00,18342650
5320,18,3,14,12,44,24,2020-08-21 23:00:00,17757550
5319,17,3,20,21,40,34,2020-08-21 11:00:00,17531450
5318,38,4,29,15,35,23,2020-08-20 23:00:00,17059400
5317,15,28,38,7,5,45,2020-08-20 11:00:00,17079700
5316,35,32,3,25,21,2,2020-08-19 23:00:00,16555650
5315,39,37,26,25,15,9,2020-08-19 11:00:00,16276850
5314,10,11,34,20,44,27,2020-08-18 23:00:00,15833900
5313,20,1,19,43,15,24,2020-08-18 11:00:00,15717450
5312,3,38,37,22,16,5,2020-08-17 23:00:00,15167550
5311,26,10,7,38,35,43,2020-08-17 11:00:00,14908200
5310,35,29,27,5,19,12,2020-08-16 23:00:00,14686550
5309,14,24,37,34,42,30,2020-08-16 11:00:00,14408600
5308,40,42,30,33,18,8,2020-08-15 23:00:00,13896950
5307,6,29,36,8,35,4,2020-08-15 11:00:00,13834450
5306,38,44,28,21,45,16,2020-08-14 23:00:00,13457300
5305,22,12,30,23,41,13,2020-08-14 11:00:00,13198300
5304,2,16,42,15,41,22,2020-08-13 23:00:00,12897750
5303,42,17,13,9,27,43,2020-08-13 11:00:00,12900950
5302,10,34,44,25,22,20,2020-08-12 23:00:00,12625500
5301,39,16,22,13,3,5,2020-08-12 11:00:00,12418100
5300,7,45,30,1,6,41,2020-08-11 23:00:00,12374450
5299,12,45,44,35,5,40,2020-08-11 11:00:00,12095150
5298,30,43,6,33,38,32,2020-08-10 23:00:00,11581200
5297,40,42,1,43,41,8,2020-08-10 11:00:00,11322800
5296,45,26,3,30,28,6,2020-08-09 23:00:00,10916050
5295,4,6,28,11,35,29,2020-08-09 11:00:00,10740150
5294,18,10,12,13,45,44,2020-08-08 23:00:00,10307600
5293,26,10,45,44,15,12,2020-08-08 11:00:00,10052950
5292,18,11,6,22,24,28,2020-08-07 23:00:00,10086750
5291,18,9,32,41,24,26,2020-08-07 11:00:00,10000000
5290,19,38,43,37,6,35,2020-08-06 23:00:00,10000000
5289,19,5,36,3,27,7,2020-08-06 11:00:00,10000000
5288,35,32,30,21,19,27,2020-08-05 23:00:00,10000000
5287,8,34,3,41,24,7,2020-08-05 11:00:00,10000000
5286,24,3,21,38,45,35,2020-08-04 23:00:00,10000000
5285,42,11,40,33,22,21,2020-08-04 11:00:00,10000000
5284,35,42,7,4,15,44,2020-08-03 23:00:00,10000000
5283,26,2,33,7,10,30,2020-08-03 11:00:00,10000000
5282,38,35,8,18,2,34,2020-08-02 23:00:00,10000000
5281,41,29,7,42,17,45,2020-08-02 11:00:00,10000000
5280,16,45,25,7,39,41,2020-08-01 23:00:00,10000000
5279,6,28,36,4,7,15,2020-08-01 11:00:00,10000000
5278,29,26,19,35,9,33,2020-07-31 23:00:00,10000000
5277,43,33,40,6,35,9,2020-07-31 11:00:00,10000000
5276,14,27,3,41,17,19,2020-07-30 23:00:00,10000000
5275,4,28,36,19,2,15,2020-07-30 11:00:00,10000000
5274,24,37,20,10,44,29,2020-07-29 23:00:00,10000000
5273,11,2,8,13,23,30,2020-07-29 11:00:00,10000000
5272,30,45,28,17,38,8,2020-07-28 23:00:00,10000000
5271,35,7,10,34,40,13,2020-07-28 11:00:00,10000000
5270,34,25,43,4,23,19,2020-07-27 23:00:00,10000000
5269,12,9,19,20,4,34,2020-07-27 11:00:00,10000000
5268,45,40,20,41,30,6,2020-07-26 23:00:00,10000000
5267,40,22,35,13,6,41,2020-07-26 11:00:00,10000000
5266,33,1,27,30,2,13,2020-07-25 23:00:00,10000000
5265,15,17,14,12,43,41,2020-07-25 11:00:00,10000000
5264,26,34,29,15,43,11,2020-07-24 23:00:00,10000000
5263,34,20,10,42,31,43,2020-07-24 11:00:00,10000000
5262,37,18,40,38,41,34,2020-07-23 23:00:00,10000000
5261,8,41,34,36,4,14,2020-07-23 11:00:00,10000000
5260,42,19,5,25,38,8,2020-07-22 23:00:00,10000000
5259,44,3,23,14,24,28,2020-07-22 11:00:00,10000000
5258,40,10,13,7,39,1,2020-07-21 23:00:00,10000000
5257,18,29,33,16,31,35,2020-07-21 11:00:00,10000000
5256,22,31,1,32,8,23,2020-07-20 23:00:00,10000000
5255,11,2,10,44,20,40,2020-07-20 11:00:00,10000000
5254,29,6,25,23,31,43,2020-07-19 23:00:00,10000000
5253,15,39,41,14,27,40,2020-07-19 11:00:00,10000000
5252,24,39,30,42,10,6,2020-07-18 23:00:00,10000000
5251,8,13,1,19,27,16,2020-07-18 11:00:00,10000000
5250,42,31,41,20,43,28,2020-07-17 23:00:00,10000000
5249,23,38,12,35,16,31,2020-07-17 11:00:00,303527903
5248,33,45,25,10,1,30,2020-07-16 23:00:00,303588903
5247,5,25,32,8,13,23,2020-07-16 11:00:00,303176553
5246,13,45,11,38,22,37,2020-07-15 23:00:00,302379003
5245,5,38,30,9,17,1,2020-07-15 11:00:00,301938403
5244,29,15,36,35,10,41,2020-07-14 23:00:00,301128353
5243,34,24,18,20,14,7,2020-07-14 11:00:00,300837953
5242,28,33,29,10,39,38,2020-07-13 23:00:00,299974203
5241,8,16,42,18,40,11,2020-07-13 11:00:00,299493253
5240,27,38,24,31,36,4,2020-07-12 23:00:00,298588803
5239,30,18,38,4,26,6,2020-07-12 11:00:00,298272103
5238,26,25,32,35,37,10,2020-07-11 23:00:00,297336153
5237,37,34,24,18,35,38,2020-07-11 11:00:00,296970903
5236,5,16,29,15,24,7,2020-07-10 23:00:00,296845903
5235,8,11,12,37,25,33,2020-07-10 11:00:00,296558403
5234,41,16,34,29,33,18,2020-07-09 23:00:00,295992953
5233,20,27,39,5,2,26,2020-07-09 11:00:00,295580953
5232,24,11,10,30,9,40,2020-07-08 23:00:00,295307153
5231,35,9,37,18,16,36,2020-07-08 11:00:00,294820753
5230,3,17,20,27,16,10,2020-07-07 23:00:00,294212603
5229,6,5,35,10,20,2,2020-07-07 11:00:00,293851653
5228,38,23,5,29,41,17,2020-07-06 23:00:00,294057453
5227,12,15,21,5,17,24,2020-07-06 11:00:00,294356803
5226,18,33,38,43,29,12,2020-07-05 23:00:00,293791753
5225,40,14,31,25,34,38,2020-07-05 11:00:00,293340003
5224,41,30,44,24,2,32,2020-07-04 23:00:00,292483353
5223,34,21,20,5,11,8,2020-07-04 11:00:00,292317553
5222,8,37,21,7,5,32,2020-07-03 23:00:00,291765753
5221,20,37,34,36,27,45,2020-07-03 11:00:00,291201353
5220,9,29,36,12,37,39,2020-07-02 23:00:00,290280553
5219,7,2,16,15,9,5,2020-07-02 11:00:00,290291253
5218,39,3,2,25,24,45,2020-07-01 23:00:00,289567453
5217,23,15,24,7,29,27,2020-07-01 11:00:00,289141603
5216,18,42,40,3,32,20,2020-06-30 23:00:00,288383703
5215,38,27,21,4,42,33,2020-06-30 11:00:00,287925953
5214,8,7,13,33,23,30,2020-06-29 23:00:00,287582503
5213,24,31,19,15,42,14,2020-06-29 11:00:00,287038153
5212,39,40,21,7,15,2,2020-06-28 23:00:00,286184553
5211,20,26,13,23,45,12,2020-06-28 11:00:00,285740053
5210,34,20,11,29,33,7,2020-06-27 23:00:00,285236503
5209,43,11,32,26,17,9,2020-06-27 11:00:00,285464753
5208,24,41,3,5,37,34,2020-06-26 23:00:00,285234203
5207,29,34,1,39,14,11,2020-06-26 11:00:00,284704103
5206,3,5,22,21,13,41,2020-06-25 23:00:00,284127803
5205,2,29,17,34,24,22,2020-06-25 11:00:00,284093903
5204,4,36,1,7,24,20,2020-06-24 23:00:00,283419303
5203,12,19,2,11,3,29,2020-06-24 11:00:00,282998053
5202,44,37,39,22,19,27,2020-06-23 23:00:00,282260853
5201,27,1,41,21,15,16,2020-06-23 11:00:00,281718753
5200,2,43,12,1,20,3,2020-06-22 23:00:00,280926553
5199,25,6,31,41,5,1,2020-06-22 11:00:00,280381253
5198,23,22,24,15,5,1,2020-06-21 23:00:00,279492653
5197,4,11,10,15,42,34,2020-06-21 11:00:00,279290153
5196,26,5,29,16,45,15,2020-06-20 23:00:00,278532853
5195,26,34,30,45,33,42,2020-06-20 11:00:00,278587053
5194,17,2,9,18,1,43,2020-06-19 23:00:00,277715203
5193,3,29,30,9,18,28,2020-06-19 11:00:00,277554103
5192,5,33,26,10,34,25,2020-06-18 23:00:00,276721803
5191,26,17,41,15,21,37,2020-06-18 11:00:00,276530603
5190,31,34,32,27,7,40,2020-06-17 23:00:00,275638953
5189,11,35,18,7,2,13,2020-06-17 11:00:00,275307403
5188,6,26,34,30,32,43,2020-06-16 23:00:00,275045203
5187,6,31,5,44,35,23,2020-06-16 11:00:00,274824003
5186,30,44,17,3,33,1,2020-06-15 23:00:00,274275503
5185,28,7,31,32,6,29,2020-06-15 11:00:00,273845903
5184,12,21,25,42,36,39,2020-06-14 23:00:00,272928353
5183,34,40,36,45,31,37,2020-06-14 11:00:00,272390853
5182,15,42,29,26,12,23,2020-06-13 23:00:00,272459953
5181,38,23,1,39,34,13,2020-06-13 11:00:00,271989403
5180,16,18,31,3,44,32,2020-06-12 23:00:00,271504903
5179,34,26,42,29,13,2,2020-06-12 11:00:00,271105253
5178,22,3,18,14,11,4,2020-06-11 23:00:00,270901103
5177,8,22,21,32,11,25,2020-06-11 11:00:00,270758553
5176,16,22,19,30,4,27,2020-06-10 23:00:00,270062503
5175,9,15,35,44,2,19,2020-06-10 11:00:00,269642153
5174,12,33,44,5,36,34,2020-06-09 23:00:00,268947803
5173,4,42,20,7,43,9,2020-06-09 11:00:00,268559903
5172,15,10,43,12,13,27,2020-06-08 23:00:00,267941703
5171,38,34,28,26,18,15,2020-06-08 11:00:00,267555153
5170,45,2,31,30,43,21,2020-06-07 23:00:00,266793353
5169,45,19,34,30,12,44,2020-06-07 11:00:00,266404003
5168,5,15,30,17,8,14,2020-06-06 23:00:00,265765853
5167,22,15,28,1,11,27,2020-06-06 11:00:00,265390853
5166,19,20,1,40,11,41,2020-06-05 23:00:00,264502503
5165,44,21,11,26,23,43,2020-06-05 11:00:00,264468453
5164,13,41,35,45,4,28,2020-06-04 23:00:00,264002003
5163,36,26,32,10,22,20,2020-06-04 11:00:00,263564103
5162,42,13,35,44,5,14,2020-06-03 23:00:00,262834003
5161,41,43,39,35,17,13,2020-06-03 11:00:00,262378603
5160,11,34,16,42,43,26,2020-06-02 23:00:00,261574253
5159,23,11,34,37,29,21,2020-06-02 11:00:00,261156053
5158,7,31,17,5,14,33,2020-06-01 23:00:00,260560103
5157,8,24,16,12,37,41,2020-06-01 11:00:00,260336053
5156,19,12,5,32,33,3,2020-05-31 23:00:00,259813653
5155,38,9,18,37,39,14,2020-05-31 11:00:00,259726103
5154,31,12,44,38,17,37,2020-05-30 23:00:00,259129903
5153,18,37,17,21,44,43,2020-05-30 11:00:00,261668253
5152,14,5,24,20,4,11,2020-05-29 23:00:00,261027103
5151,2,13,21,3,33,27,2020-05-29 11:00:00,260748903
5150,34,22,3,19,43,39,2020-05-28 23:00:00,260002153
5149,1,35,37,34,14,29,2020-05-28 11:00:00,259422553
5148,12,22,4,7,14,16,2020-05-27 23:00:00,258991653
5147,43,36,32,38,29,16,2020-05-27 11:00:00,258463803
5146,31,2,17,3,20,24,2020-05-26 23:00:00,257800403
5145,1,24,13,30,31,28,2020-05-26 11:00:00,257226903
5144,11,25,2,30,5,23,2020-05-25 23:00:00,256609403
5143,4,32,29,24,23,1,2020-05-25 11:00:00,256158653
5142,29,6,11,31,43,40,2020-05-24 23:00:00,255441953
5141,44,42,15,45,24,21,2020-05-24 11:00:00,255202603
5140,9,31,3,27,35,17,2020-05-23 23:00:00,255242203
5139,23,20,2,15,44,35,2020-05-23 11:00:00,255017153
5138,40,28,41,19,10,37,2020-05-22 23:00:00,254123103
5137,31,30,9,10,42,22,2020-05-22 11:00:00,254532153
5136,28,13,35,3,8,20,2020-05-21 23:00:00,254333153
5135,6,28,11,14,23,4,2020-05-21 11:00:00,254024603
5134,31,21,10,11,12,38,2020-05-20 23:00:00,253107753
5133,7,36,30,21,42,41,2020-05-20 11:00:00,252574453
5132,44,11,24,16,2,15,2020-05-19 23:00:00,252031553
5131,30,43,37,1,27,29,2020-05-19 11:00:00,251432153
5130,43,3,18,2,45,14,2020-05-18 23:00:00,250840853
5129,41,36,27,19,34,33,2020-05-18 11:00:00,250344853
5128,44,41,24,37,38,27,2020-05-17 23:00:00,249575153
5127,22,36,8,45,24,1,2020-05-17 11:00:00,249136753
5126,5,18,42,16,41,1,2020-05-16 23:00:00,248549553
5125,28,35,44,39,19,24,2020-05-16 11:00:00,248084303
5124,41,9,42,3,45,23,2020-05-15 23:00:00,247313303
5123,26,24,43,12,6,15,2020-05-15 11:00:00,247047153
5122,15,44,34,36,24,43,2020-05-14 23:00:00,246127003
5121,31,43,37,15,9,18,2020-05-14 11:00:00,245563953
5120,10,21,7,43,15,13,2020-05-13 23:00:00,245386253
5119,18,26,19,33,11,20,2020-05-13 11:00:00,245113553
5118,17,11,38,45,41,20,2020-05-12 23:00:00,244387253
5117,22,4,39,6,44,19,2020-05-12 11:00:00,244193953
5116,20,44,2,4,25,37,2020-05-11 23:00:00,243471453
5115,40,18,44,34,45,29,2020-05-11 11:00:00,243151703
5114,43,23,26,27,5,34,2020-05-10 23:00:00,242715603
5113,19,44,39,30,16,41,2020-05-10 11:00:00,242312553
5112,32,5,11,16,14,20,2020-05-09 23:00:00,241991353
5111,4,21,30,38,27,6,2020-05-09 11:00:00,241634603
5110,31,25,7,39,36,37,2020-05-08 23:00:00,240730053
5109,8,35,6,32,3,40,2020-05-08 11:00:00,240336103
5108,36,27,39,1,45,7,2020-05-07 23:00:00,239574553
5107,29,2,41,42,30,1,2020-05-07 11:00:00,239046603
5106,8,3,22,34,4,20,2020-05-06 23:00:00,238808603
5105,35,44,25,16,9,14,2020-05-06 11:00:00,238462403
5104,8,20,14,18,13,17,2020-05-05 23:00:00,237910353
5103,32,39,14,15,25,30,2020-05-05 11:00:00,237477753
5102,34,10,32,35,45,19,2020-05-04 23:00:00,236767603
5101,21,2,29,24,25,20,2020-05-04 11:00:00,236346453
5100,20,42,23,16,29,41,2020-05-03 23:00:00,235591203
5099,7,24,14,35,16,29,2020-05-03 11:00:00,235427753
5098,18,10,28,27,25,41,2020-05-02 23:00:00,234816203
5097,29,3,33,31,44,36,2020-05-02 11:00:00,235042253
5096,22,11,31,18,10,27,2020-05-01 23:00:00,234643953
5095,18,4,17,8,31,45,2020-05-01 11:00:00,234477553
5094,7,41,16,9,45,34,2020-04-30 23:00:00,233755303
5093,25,35,26,34,39,24,2020-04-30 11:00:00,233250953
5092,1,12,30,25,41,40,2020-04-29 23:00:00,233068353
5091,5,42,22,19,25,43,2020-04-29 11:00:00,232929253
5090,10,45,6,24,32,20,2020-04-28 23:00:00,232930453
5089,2,33,24,12,45,25,2020-04-28 11:00:00,232542003
5088,28,4,8,7,39,3,2020-04-27 23:00:00,232023353
5087,14,8,44,41,19,33,2020-04-27 11:00:00,231871353
5086,40,4,29,28,24,23,2020-04-26 23:00:00,231168153
5085,7,34,33,25,10,9,2020-04-26 11:00:00,230820603
5084,7,31,23,15,37,3,2020-04-25 23:00:00,230834053
5083,21,22,17,15,31,28,2020-04-25 11:00:00,230446853
5082,39,30,28,44,29,3,2020-04-24 23:00:00,229694803
5081,25,26,20,11,43,29,2020-04-24 11:00:00,229291053
5080,24,36,40,16,2,28,2020-04-23 23:00:00,228565353
5079,11,13,3,15,40,22,2020-04-23 11:00:00,228749353
5078,43,23,7,44,35,31,2020-04-22 23:00:00,228420303
5077,36,44,40,25,19,32,2020-04-22 11:00:00,227938903
5076,24,19,34,9,6,44,2020-04-21 23:00:00,227253203
5075,41,5,34,2,39,23,2020-04-21 11:00:00,226838553
5074,39,19,16,41,1,29,2020-04-20 23:00:00,226047603
5073,20,14,23,16,12,1,2020-04-20 11:00:00,226026603
5072,34,21,42,12,10,26,2020-04-19 23:00:00,225516253
5071,1,8,14,33,36,38,2020-04-19 11:00:00,225023153
5070,13,45,25,44,8,37,2020-04-18 23:00:00,225078903
5069,45,40,12,23,7,19,2020-04-18 11:00:00,224644803
5068,40,16,43,41,18,37,2020-04-17 23:00:00,224022303
5067,9,36,29,15,18,12,2020-04-17 11:00:00,223676653
5066,33,7,42,21,31,16,2020-04-16 23:00:00,223625903
5065,17,31,24,29,25,13,2020-04-16 11:00:00,223218803
5064,18,43,42,14,5,11,2020-04-15 23:00:00,222488553
5063,13,17,7,27,44,19,2020-04-15 11:00:00,222795853
5062,7,25,42,10,3,35,2020-04-14 23:00:00,222664403
5061,23,14,8,21,28,34,2020-04-14 11:00:00,222307453
5060,4,5,43,45,33,9,2020-04-13 23:00:00,221851753
5059,30,22,29,20,44,14,2020-04-13 11:00:00,221452653
5058,26,2,4,19,20,24,2020-04-12 23:00:00,220765403
5057,3,28,19,34,6,2,2020-04-12 11:00:00,220568403
5056,33,21,19,15,29,10,2020-04-11 23:00:00,220086953
5055,17,33,25,40,5,45,2020-04-11 11:00:00,219747253
5054,5,20,27,8,40,12,2020-04-10 23:00:00,219020953
5053,23,37,18,9,39,38,2020-04-10 11:00:00,218598603
5052,9,36,28,40,34,7,2020-04-09 23:00:00,218037503
5051,7,12,30,20,21,16,2020-04-09 11:00:00,217617503
5050,9,34,28,25,40,8,2020-04-08 23:00:00,217061853
5049,17,32,4,22,9,16,2020-04-08 11:00:00,216693803
5048,21,28,32,9,10,2,2020-04-07 23:00:00,216269703
5047,1,14,39,15,9,12,2020-04-07 11:00:00,215825603
5046,2,19,31,44,5,41,2020-04-06 23:00:00,215179953
5045,9,25,42,28,27,33,2020-04-06 11:00:00,214805053
5044,16,6,41,42,4,25,2020-04-05 23:00:00,214167503
5043,30,8,15,20,25,10,2020-04-05 11:00:00,213781803
5042,9,42,34,11,10,21,2020-04-04 23:00:00,213174253
5041,38,26,8,14,39,29,2020-04-04 11:00:00,212798803
5040,18,13,12,6,38,5,2020-04-03 23:00:00,212397153
5039,10,42,14,38,44,5,2020-04-03 11:00:00,212016653
5038,12,23,30,4,1,43,2020-04-02 23:00:00,211544003
5037,44,12,38,30,41,11,2020-04-02 11:00:00,211311253
5036,43,6,34,27,15,42,2020-04-01 23:00:00,211294003
5035,18,38,28,1,13,10,2020-04-01 11:00:00,211138553
5034,41,10,37,43,31,14,2020-03-31 23:00:00,210457153
5033,37,45,40,7,20,22,2020-03-31 11:00:00,210107603
5032,30,1,7,28,11,27,2020-03-30 23:00:00,209759653
5031,40,16,26,23,27,30,2020-03-30 11:00:00,209412453
5030,25,19,29,31,33,26,2020-03-29 23:00:00,208689153
5029,8,33,32,30,31,44,2020-03-29 11:00:00,208191453
5028,29,8,20,16,27,43,2020-03-28 23:00:00,207695253
5027,12,35,39,14,10,4,2020-03-28 11:00:00,207353953
5026,21,35,43,8,36,42,2020-03-27 23:00:00,206430403
5025,45,4,37,22,7,34,2020-03-27 11:00:00,206537053
5024,3,18,30,16,33,9,2020-03-26 23:00:00,206451103
5023,4,22,45,12,3,42,2020-03-26 11:00:00,205970303
5022,24,33,26,12,3,13,2020-03-25 23:00:00,205419453
5021,19,21,38,7,28,17,2020-03-25 11:00:00,205424153
5020,43,22,1,42,10,3,2020-03-24 23:00:00,204665703
5019,29,45,24,31,1,30,2020-03-24 11:00:00,204252403
5018,31,15,36,20,2,1,2020-03-23 23:00:00,203293353
5017,10,17,43,13,24,41,2020-03-23 11:00:00,202878603
5016,11,37,3,14,15,42,2020-03-22 23:00:00,202085353
5015,44,1,42,25,45,10,2020-03-22 11:00:00,201494953
5014,22,15,6,1,38,9,2020-03-21 23:00:00,200806653
5013,43,4,21,27,36,29,2020-03-21 11:00:00,200212453
5012,14,42,24,40,11,4,2020-03-20 23:00:00,199172953
5011,10,27,6,30,40,9,2020-03-20 11:00:00,199248553
5010,4,19,36,44,35,18,2020-03-19 23:00:00,198463853
5009,21,6,36,35,23,31,2020-03-19 11:00:00,197873203
5008,38,41,40,30,1,34,2020-03-18 23:00:00,196629453
5007,5,28,23,31,25,8,2020-03-18 11:00:00,196837203
5006,10,41,12,43,4,35,2020-03-17 23:00:00,196295903
5005,37,29,8,15,32,40,2020-03-17 11:00:00,196549803
5004,26,1,10,15,32,31,2020-03-16 23:00:00,195671403
5003,14,16,36,42,32,24,2020-03-16 11:00:00,195305503
5002,24,28,10,19,38,30,2020-03-15 23:00:00,194535253
5001,7,10,3,2,11,34,2020-03-15 11:00:00,194063353
5000,20,11,9,32,31,13,2020-03-14 23:00:00,193276203
4999,31,23,39,12,4,16,2020-03-14 11:00:00,192707253
4998,32,41,26,2,13,3,2020-03-13 23:00:00,191749503
4997,28,18,34,24,43,9,2020-03-13 11:00:00,191121053
4996,23,39,1,2,26,38,2020-03-12 23:00:00,189849003
4995,40,30,44,16,39,20,2020-03-12 11:00:00,189435103
4994,25,5,28,37,22,18,2020-03-11 23:00:00,188510803
4993,34,12,2,1,25,42,2020-03-11 11:00:00,188247703
4992,4,11,8,45,43,2,2020-03-10 23:00:00,187600303
4991,10,28,19,21,29,4,2020-03-10 11:00:00,187162403
4990,42,26,3,14,13,39,2020-03-09 23:00:00,186778753
4989,36,6,25,31,26,32,2020-03-09 11:00:00,186087353
4988,3,44,39,24,8,31,2020-03-08 23:00:00,185204053
4987,6,36,17,3,15,34,2020-03-08 11:00:00,184812453
4986,4,16,3,2,28,36,2020-03-07 23:00:00,184362203
4985,19,38,42,1,17,18,2020-03-07 11:00:00,183700353
4984,32,12,14,7,45,35,2020-03-06 23:00:00,182833503
4983,6,37,18,44,30,3,2020-03-06 11:00:00,182483503
4982,31,21,29,5,26,17,2020-03-05 23:00:00,182073803
4981,35,39,40,38,14,2,2020-03-05 11:00:00,181475403
4980,43,26,45,6,16,11,2020-03-04 23:00:00,180477753
4979,24,6,33,42,20,28,2020-03-04 11:00:00,180277953
4978,14,7,19,32,39,2,2020-03-03 23:00:00,180038903
4977,38,5,8,31,3,21,2020-03-03 11:00:00,179873503
4976,1,28,30,14,10,45,2020-03-02 23:00:00,179776303
4975,27,17,29,16,23,25,2020-03-02 11:00:00,179327603
4974,20,37,9,34,43,27,2020-03-01 23:00:00,178658553
4973,16,35,19,11,44,2,2020-03-01 11:00:00,178175003
4972,2,42,5,27,3,11,2020-02-29 23:00:00,177286103
4971,34,18,28,26,7,42,2020-02-29 11:00:00,176939953
4970,29,27,13,3,7,25,2020-02-28 23:00:00,176409203
4969,6,17,4,27,33,38,2020-02-28 11:00:00,176469003
4968,13,14,19,35,42,25,2020-02-27 23:00:00,175445253
4967,14,24,12,41,28,42,2020-02-27 11:00:00,174863803
4966,8,27,15,20,28,12,2020-02-26 23:00:00,174839853
4965,5,39,43,27,14,16,2020-02-26 11:00:00,174502103
4964,43,14,22,20,26,16,2020-02-25 23:00:00,173446203
4963,12,5,20,28,30,14,2020-02-25 11:00:00,173106803
4962,10,30,35,33,4,26,2020-02-24 23:00:00,172342653
4961,6,1,40,19,42,11,2020-02-24 11:00:00,172230653
4960,31,28,12,2,43,8,2020-02-23 23:00:00,171188553
4959,32,29,16,10,33,36,2020-02-23 11:00:00,170712003
4958,4,25,24,32,10,7,2020-02-22 23:00:00,169758703
